Membre de SDC,Catégorie,Château / Entreprise,Apparaît dans la bible ? ,type de vins princiapl,Statut de la demande,Pôle concerné,mail,Téléphone,Prénom,Nom,Région,Mail,Poste,Nombre de bouteilles,Logistique,Suivi des étapes,Contexte de la demande/commentaires,Région/Appellation,Aspect RSE,Possible de démarcher à nouveau ?,"Si oui, quel type ?"
Marin/ Quentin/Marine,Démarchage en nature,Clos Trimoulet,,,"Contacté, sans réponse",,contact@clos-trimoulet.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Vignobles Marcel Petit,,,"Contacté, sans réponse",,tcontact@vignobles-petit.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château de Come,,,"Contacté, sans réponse",,come@chateaudecome.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château Haut Coteau,,,Non contacté,,chateau.haut-coteau@wanadoo.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château la Haye,,,Non contacté,,,,https://www.chateaulahaye.fr/en/contact/,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château la Rose Brana,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château la Bridane,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château de Teste,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Bastide Des Deux Lunes,Non contacté,,Défi de Bacchus,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,1. Château BATAILLEY – Pauillac,Non contacté,,Défi de Bacchus,deja connu ? on contact pas par mail si ? ,domaines@borie-manoux.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,2. Château HAUT-BATAILLEY – Pauillac,"Contacté, sans réponse",,Défi de Bacchus,,hlefranc@jmcazes.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,3. Château GRAND-PUY-LACOSTE – Pauillac,"Contacté, sans réponse",,Défi de Bacchus,,dfxb@domainesfxborie.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,4. Château GRAND-PUY DUCASSE – Pauillac,"Contacté, sans réponse",,Défi de Bacchus,, contact@cagrandscrus.fr,,,,,,,,,,,,,,
,Démarchage en nature,,Non contacté,,,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,6. Château LYNCH-MOUSSAS – Pauillac,"Contacté, sans réponse",,Défi de Bacchus,,documentation@borie-manoux.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,7. Château DAUZAC – Margaux,"Contacté, sans réponse",,Défi de Bacchus,,contact@chateaudauzac.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,8. Château d’ARMAILHAC – Pauillac,"Contacté, sans réponse",,Défi de Bacchus,,webmaster@bpdr.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,9. Château du TERTRE – Margaux,"Contacté, sans réponse",,Défi de Bacchus,,reservations@chateaudutertre.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,10. Château HAUT-BAGES LIBÉRAL – Pauillac,"Contacté, sans réponse",,Défi de Bacchus,,boutique@hautbagesliberal.com ; infos@ferriere.com,,,,,,,,,,,,,,
,Démarchage en nature,,Non contacté,,,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,12. Château BELGRAVE – Haut-Médoc,Non contacté,,Défi de Bacchus,,accueil@arvitis.com ; à l'attention de Dourthe,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,13. Château de CAMENSAC – Haut-Médoc,Non contacté,,Défi de Bacchus,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,14. Château COS LABORY – Saint-Estèphe,"Contacté, sans réponse",,Défi de Bacchus,,contact@cos-labory.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,15. Château CLERC MILON – Pauillac,Non contacté,,Défi de Bacchus,,caroline artaud cartaud@bphr.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,16. Château CROIZET-BAGES – Pauillac,"Contacté, sans réponse",,Défi de Bacchus,,contact@domaines-quie.com,,,,,,,,,,,,,,
,Démarchage en nature,,Non contacté,,,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,"18. Château d’Yquem, Sauternes, AOC Sauternes","Contacté, sans réponse",,Défi de Bacchus,,contact@yquem.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,19. Château LA TOUR BLANCHE – Sauternes,"Contacté, sans réponse",,Défi de Bacchus,,tour-blanche@tour-blanche.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,20. Château LAFAURIE-PEYRAGUEY – Sauternes,"Contacté, sans réponse",,Défi de Bacchus,,info@vignobles-silvio-denz.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,21. Clos HAUT-PEYRAGUEY – Sauternes,"Contacté, sans réponse",,Défi de Bacchus,,accueil@pape-clément.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,22. Château de RAYNE VIGNEAU – Sauternes,Non contacté,,Défi de Bacchus,,,,,,,,,,,,,,,,
,Démarchage en nature,,Non contacté,,,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Bastide Des Terres Blanches,Non contacté,,Défi de Bacchus,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Benoit Chapelle,Non contacté,,Défi de Bacchus,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Berli,Non contacté,,Défi de Bacchus,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Bois Des Demoiselles,Non contacté,,Défi de Bacchus,,,,,,,,,,,,,,,,
,Démarchage en nature,,Non contacté,,,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Castel Freres,Non contacté,,Défi de Bacchus,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Castel Frères Béziers,Non contacté,,Défi de Bacchus,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Castel Freres Blanquefort,Non contacté,,Défi de Bacchus,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Castel Frères Saint Priest,Non contacté,,Défi de Bacchus,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Castel Frères Thiais,Non contacté,,Défi de Bacchus,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Chateau Suduiraut – Sauternes,"Contacté, sans réponse",,Défi de Bacchus,,contact@suduiraut.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Chateau Coutet – Barsac,"Contacté, sans réponse",,Défi de Bacchus,Annelise: prends le relais contact direct ,info@chateaucoutet.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château Climens – Barsac,"Contacté, sans réponse",,Défi de Bacchus,,contact@chateau-climens.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Chateau Guiraud – Sauternes,"Contacté, sans réponse",,Défi de Bacchus,,accueil@chateauguiraud.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Chateau Rieussec – Sauternes,"Contacté, sans réponse",,Défi de Bacchus,,rieussec@lafite.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Chateau Rabaud-Promis – Sauternes,"Contacté, sans réponse",,Défi de Bacchus,,contact@rabaud-promis.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Chateau Sigalas Rabaud – Sauternes,"Contacté, sans réponse",,Défi de Bacchus,,chateausigalasrabaud@gmail.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Chateau de Myrat – Barsac,"Contacté, sans réponse",,Défi de Bacchus,,myrat@chateaudemyrat.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Chateau Doisy Daëne – Barsac,"Contacté, sans réponse",,Défi de Bacchus,,contact@denisdubourdieu.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Chateau Doisy-Dubroca – Barsac,"Contacté, sans réponse",,Défi de Bacchus,,contact@denisdubourdieu.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Chateau Doisy-Védrines – Barsac,"Contacté, sans réponse",,Défi de Bacchus,,doisy-vedrines@orange.fr,,,,,,,,,,,,,,
,Démarchage en nature,,Non contacté,,,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Chateau Filhot – Sauternes,"Contacté, sans réponse",,Défi de Bacchus,,filhot@filhot.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Chateau Broustet – Barsac,Non contacté,,Défi de Bacchus,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Chateau Nairac,"Contacté, sans réponse",,Défi de Bacchus,,contact@chateaunairac.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Chateau Caillou,"Contacté, sans réponse",,Défi de Bacchus,,contact@chateaucaillou.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Chateau Suau,"Contacté, sans réponse",,Défi de Bacchus,,contact@chateausuau.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Chateau de Malle,Non contacté,,Défi de Bacchus,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Chateau de Romer du Hayot,Non contacté,,Défi de Bacchus,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Chateau Romer,"Contacté, sans réponse",,Défi de Bacchus,,vins@janoueixfrancois.com,,,,,,,,,,,,,,
,Démarchage en nature,,,,,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Chateau Lamothe-Guignard,"Contacté, sans réponse",,Défi de Bacchus,,contact@chateau-lamothe-guignard.com; info@chateau-lamothe.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Chateau Langoa Barton,"Contacté, sans réponse",,Défi de Bacchus,,chateau@barton-family-wines.com,,,,,,,,,,,,,,
,Démarchage en nature,,Non contacté,,,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Chateau Malescot Saint-Exupéry,"Contacté, sans réponse",,Défi de Bacchus,,malescotstexupery@exupery.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Chateau Boyd-Cantenac,"Contacté, sans réponse",,Défi de Bacchus,,administration@boyd-cantenac.fr,,,,,,,,,,,,,,
,,,Non contacté,,,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Chateau Palmer,"Contacté, sans réponse",,Défi de Bacchus,,dantenolleau@chateau-palmer.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Chateau La Lagune,"Contacté, sans réponse",,Défi de Bacchus,,contact@chateau-lalagune.com,,,,,,,,,,,,,,
,,,Non contacté,,,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Chateau Calon Ségur,"Contacté, sans réponse",,Défi de Bacchus,,calon-segur@calon-segur.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Chateau Ferrière,"Contacté, sans réponse",,Défi de Bacchus,,boutique@ferriere.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Chateau Marquis d'Alesme Becker,"Contacté, sans réponse",,Défi de Bacchus,,contact@marquis.wine,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Chateau Saint-Pierre,"Contacté, sans réponse",,Défi de Bacchus,,contact@chateausaintpierre.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Chateau Talbot,"Contacté, sans réponse",,Défi de Bacchus,,talbot@chateau-talbot.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Chateau Branaire-Ducru,"Contacté, sans réponse",,Défi de Bacchus,,branaire@branaire.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Chateau Duhart–Milon,"Contacté, sans réponse",,Défi de Bacchus,,visites@lafitte.com,,,,,,,,,,,,,,
,,,Non contacté,,,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Chateau La Tour Carnet,"Contacté, sans réponse",,Défi de Bacchus,,visite@latour-carnet.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Chateau Lafon-Rochet,"Contacté, sans réponse",,Défi de Bacchus,,lafont@lafont-rochet.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Chateau Beychevelle,"Contacté, sans réponse",,Défi de Bacchus,,beychevelle@beychevelle.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Chateau Prieuré-Lichine,"Contacté, sans réponse",,Défi de Bacchus,,l.latrille@prieuré-lichine.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Chateau Marquis de Terme,Non contacté,,Défi de Bacchus,,,,,,,,,,,,,,,,
,,,Non contacté,,,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Chateau Pontet-Canet,"Contacté, sans réponse",,Défi de Bacchus,,info@pontet-canet.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Chateau Fonplégade,"Contacté, sans réponse",,Défi de Bacchus,,chateaufonplegade@fonplegade.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,MDCV Châteaux et Vignobles en Provence,"Contacté, sans réponse",,Défi de Bacchus,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château les Mesclances,"Contacté, sans réponse",,Défi de Bacchus,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Face B,"Contacté, sans réponse",,Défi de Bacchus,,contact@vins-face-b.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Chateau Haut Bernasse,"Contacté, sans réponse",,Défi de Bacchus,,chateau.hautbernasse@orange.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Minuty,"Contacté, sans réponse",,Défi de Bacchus,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,MAISON BRUNO ANDREU,"Contacté, sans réponse",,Défi de Bacchus,,,,,,,,,,,,,,,,
Angelo,Démarchage en nature,Champagne KRUG,"Contacté, sans réponse",,Défi de Bacchus,,mboury@krug.fr,,,,,,,,,,,,,,
Angelo,Démarchage en nature,Domaine Lorenzon (Mercurey),"Contacté, sans réponse",,Défi de Bacchus,,contact@domainelorenzon.com,,,,,,,,,,,,,,
Clément ,Démarchage en nature,Luca Roagna,"Contacté, sans réponse",,Défi de Bacchus,,,,,,,,,,,,,,,,
Clément ,Démarchage en nature,Angelo Gaja,"Contacté, sans réponse",,Défi de Bacchus,,,,,,,,,,,,,,,,
Clément ,Démarchage en nature,Masseto,"Contacté, sans réponse",,Défi de Bacchus,,,,,,,,,,,,,,,,
Clément ,Démarchage en nature,Bodega Vega Sicilia ,"Contacté, sans réponse",,Défi de Bacchus,,,,,,,,,,,,,,,,
Clément ,Démarchage en nature,Antinori ,"Contacté, sans réponse",,Défi de Bacchus,,,,,,,,,,,,,,,,
Clément ,Démarchage en nature,Giuseppe Rinaldi ,"Contacté, sans réponse",,Défi de Bacchus,,,,,,,,,,,,,,,,
Clément ,Démarchage en nature,JJ Prüm,"Contacté, sans réponse",,Défi de Bacchus,,,,,,,,,,,,,,,,
Clément ,Démarchage en nature,Marie Thérèse Chappaz ,"Contacté, sans réponse",,Défi de Bacchus,,,,,,,,,,,,,,,,
Clément ,Démarchage en nature,Weingut Keller ,"Contacté, sans réponse",,Défi de Bacchus,,,,,,,,,,,,,,,,
Annelise,Démarchage en nature,Chateau Coutet ,,,,,,,,,,,,,,,,,,,
Annelise,Démarchage en nature,Des Tours,,,,,,,,,,,,,,,,,,,
Annelise,Démarchage en nature,Billecart Salmon ,,,,,,,,,,,,,,,,,,,
